Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
AGP,205.61,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 1, 1, 1, 2, 2, 1",Yes,2024: 1.95% | 2023: 1.22% | 2022: 0.97% | 2021: 1.22% | 2020: 0.97% | 2019: 1.58% | 2018: 0.61%,2024: Rs.4.00 | 2023: Rs.2.50 | 2022: Rs.2.00 | 2021: Rs.2.50 | 2020: Rs.2.00 | 2019: Rs.3.25 | 2018: Rs.1.25,100.0%,Perfect consistency: 7 consecutive years
AGTL,415.39,"2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 2, 4, 1",Yes,2021: 24.57% | 2020: 10.30% | 2019: 7.22% | 2018: 18.78% | 2017: 42.13% | 2016: 6.02%,2021: Rs.102.06 | 2020: Rs.42.78 | 2019: Rs.30.00 | 2018: Rs.78.00 | 2017: Rs.175.00 | 2016: Rs.25.00,100.0%,Perfect consistency: 6 consecutive years
AHCL,12.35,"2024, 2022, 2021, 2020, 2018, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 56.68% | 2022: 32.39% | 2021: 24.29% | 2020: 12.15% | 2018: 16.19% | 2017: 24.29% | 2016: 20.24% | 2015: 32.39% | 2014: 20.24% | 2013: 20.24%,2024: Rs.7.00 | 2022: Rs.4.00 | 2021: Rs.3.00 | 2020: Rs.1.50 | 2018: Rs.2.00 | 2017: Rs.3.00 | 2016: Rs.2.50 | 2015: Rs.4.00 | 2014: Rs.2.50 | 2013: Rs.2.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
AHL,78.94,"2024, 2023, 2022, 2021, 2020, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 10.99% | 2023: 3.17% | 2022: 7.60% | 2021: 12.67% | 2020: 3.17% | 2018: 3.80% | 2017: 12.67% | 2016: 8.87% | 2015: 8.87% | 2014: 6.33%,2024: Rs.8.67 | 2023: Rs.2.50 | 2022: Rs.6.00 | 2021: Rs.10.00 | 2020: Rs.2.50 | 2018: Rs.3.00 | 2017: Rs.10.00 | 2016: Rs.7.00 | 2015: Rs.7.00 | 2014: Rs.5.00,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year"
AHTM,81.5,"2023, 2022, 2021, 2020, 2019, 2018, 2013, 2012, 2011, 2005","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 0.92% | 2022: 2.76% | 2021: 2.52% | 2020: 1.84% | 2019: 1.53% | 2018: 1.53% | 2013: 1.84% | 2012: 1.53% | 2011: 1.53% | 2005: 1.53%,2023: Rs.0.75 | 2022: Rs.2.25 | 2021: Rs.2.05 | 2020: Rs.1.50 | 2019: Rs.1.25 | 2018: Rs.1.25 | 2013: Rs.1.50 | 2012: Rs.1.25 | 2011: Rs.1.25 | 2005: Rs.1.25,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
AICL,69.25,"2024, 2023, 2022, 2021, 2020","2, 2, 2, 2, 2",Yes,2024: 4.33% | 2023: 4.33% | 2022: 4.33% | 2021: 4.33% | 2020: 3.61%,2024: Rs.3.00 | 2023: Rs.3.00 | 2022: Rs.3.00 | 2021: Rs.3.00 | 2020: Rs.2.50,100.0%,"Perfect consistency: 5 consecutive years, Pattern: 2 dividends per year"
AIRLINK,138.53,"2024, 2023, 2022, 2021","2, 2, 1, 1",Yes,2024: 4.69% | 2023: 3.25% | 2022: 0.72% | 2021: 0.90%,2024: Rs.6.50 | 2023: Rs.4.50 | 2022: Rs.1.00 | 2021: Rs.1.25,100.0%,Perfect consistency: 4 consecutive years
AKBL,67.76,"2024, 2023, 2022, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 4.43% | 2023: 3.69% | 2022: 2.21% | 2020: 4.43% | 2019: 2.21% | 2018: 1.48% | 2017: 1.48% | 2016: 2.21% | 2015: 3.32%,2024: Rs.3.00 | 2023: Rs.2.50 | 2022: Rs.1.50 | 2020: Rs.3.00 | 2019: Rs.1.50 | 2018: Rs.1.00 | 2017: Rs.1.00 | 2016: Rs.1.50 | 2015: Rs.2.25,100.0%,Minor gap detected but overall consistent: 9 years with dividends
AKDSL,31.51,"2024, 2021","2, 1",Yes,2024: 9.52% | 2021: 1.59%,2024: Rs.3.00 | 2021: Rs.0.50,100.0%,High consistency (100.0%): 2 years with dividends
AKGL,57.0,"2012, 2011, 2008, 2007, 2005","1, 1, 1, 1, 1",Yes,2012: 2.63% | 2011: 1.75% | 2008: 1.75% | 2007: 1.75% | 2005: 0.00%,2012: Rs.1.50 | 2011: Rs.1.00 | 2008: Rs.1.00 | 2007: Rs.1.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 5 years with dividends, Pattern: 1 dividends per year"
ALAC,10.06,"2020, 2018, 2016, 2013, 2012, 2010, 2009, 2008","1, 1, 1, 1, 1, 2, 2, 1",Yes,2020: 36.09% | 2018: 82.59% | 2016: 1.24% | 2013: 18.64% | 2012: 18.64% | 2010: 19.88% | 2009: 19.88% | 2008: 17.40%,2020: Rs.3.63 | 2018: Rs.8.31 | 2016: Rs.0.12 | 2013: Rs.1.88 | 2012: Rs.1.88 | 2010: Rs.2.00 | 2009: Rs.2.00 | 2008: Rs.1.75,100.0%,High consistency (100.0%): 8 years with dividends
ALIFE,33.26,"2025, 2024, 2023","1, 1, 2",Yes,2025: 1.50% | 2024: 3.01% | 2023: 6.01%,2025: Rs.0.50 | 2024: Rs.1.00 | 2023: Rs.2.00,100.0%,Perfect consistency: 2 consecutive years
ALNRS,86.27,"2023, 2022, 2021, 2020, 2019, 2018, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 10.43% | 2022: 5.80% | 2021: 5.80% | 2020: 3.48% | 2019: 3.48% | 2018: 1.74% | 2016: 4.64% | 2015: 3.83% | 2014: 1.16% | 2013: 0.58%,2023: Rs.9.00 | 2022: Rs.5.00 | 2021: Rs.5.00 | 2020: Rs.3.00 | 2019: Rs.3.00 | 2018: Rs.1.50 | 2016: Rs.4.00 | 2015: Rs.3.30 | 2014: Rs.1.00 | 2013: Rs.0.50,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year"
ALTN,11.31,"2025, 2024, 2023, 2021, 2019","1, 4, 1, 1, 3",Yes,2025: 85.76% | 2024: 120.69% | 2023: 41.56% | 2021: 163.57% | 2019: 49.96%,2025: Rs.9.70 | 2024: Rs.13.65 | 2023: Rs.4.70 | 2021: Rs.18.50 | 2019: Rs.5.65,100.0%,High consistency (100.0%): 4 years with dividends
AMBL,11.17,"2019, 2018, 2016, 2014, 2008, 2007, 2006, 2005","1, 1, 1, 1, 2, 1, 1, 1",Yes,2019: 22.12% | 2018: 33.65% | 2016: 12.21% | 2014: 89.53% | 2008: 179.05% | 2007: 44.76% | 2006: 0.00% | 2005: 0.00%,2019: Rs.2.47 | 2018: Rs.3.76 | 2016: Rs.1.36 | 2014: Rs.10.00 | 2008: Rs.20.00 | 2007: Rs.5.00 | 2006: Rs.0.00 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 8 years with dividends
ANL,11.85,"2020, 2009, 2008, 2007, 2006, 2004","1, 2, 1, 1, 2, 1",Yes,2020: 6.77% | 2009: 36.86% | 2008: 10.55% | 2007: 9.28% | 2006: 12.66% | 2004: 0.00%,2020: Rs.0.80 | 2009: Rs.4.37 | 2008: Rs.1.25 | 2007: Rs.1.10 | 2006: Rs.1.50 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
ANTM,34.1,"2021, 2019","1, 1",Yes,2021: 2.05% | 2019: 1.17%,2021: Rs.0.70 | 2019: Rs.0.40,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
APL,535.28,"2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 2, 2, 1",Yes,2024: 2.34% | 2023: 4.67% | 2022: 7.94% | 2021: 7.38% | 2020: 1.21% | 2019: 0.93%,2024: Rs.12.50 | 2023: Rs.25.00 | 2022: Rs.42.50 | 2021: Rs.39.50 | 2020: Rs.6.50 | 2019: Rs.5.00,100.0%,Perfect consistency: 6 consecutive years
ARPAK,65.06,"2019, 2016, 2015, 2006, 2005, 2004","1, 1, 1, 1, 1, 1",Yes,2019: 0.92% | 2016: 2.31% | 2015: 1.54% | 2006: 1.15% | 2005: 0.00% | 2004: 0.00%,2019: Rs.0.60 | 2016: Rs.1.50 | 2015: Rs.1.00 | 2006: Rs.0.75 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 6 years with dividends, Pattern: 1 dividends per year"
ARPL,459.93,"2025, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2025: 4.35% | 2022: 9.78% | 2021: 19.57% | 2020: 6.52% | 2019: 9.78% | 2018: 8.70% | 2017: 10.87% | 2016: 13.05% | 2015: 5.44%,2025: Rs.20.00 | 2022: Rs.45.00 | 2021: Rs.90.00 | 2020: Rs.30.00 | 2019: Rs.45.00 | 2018: Rs.40.00 | 2017: Rs.50.00 | 2016: Rs.60.00 | 2015: Rs.25.00,100.0%,Perfect consistency: 8 consecutive years
ASHT,26.58,"2022, 2021, 2020, 2013, 2012, 2005, 2004","1, 1, 1, 1, 2, 1, 1",Yes,2022: 3.76% | 2021: 3.76% | 2020: 3.76% | 2013: 12.54% | 2012: 84.65% | 2005: 0.00% | 2004: 0.00%,2022: Rs.1.00 | 2021: Rs.1.00 | 2020: Rs.1.00 | 2013: Rs.3.33 | 2012: Rs.22.50 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 7 years with dividends
ASIC,19.25,"2023, 2021, 2020, 2016, 2015, 2011, 2010, 2009","1, 1, 1, 1, 1, 1, 2, 2",Yes,2023: 2.60% | 2021: 1.56% | 2020: 5.19% | 2016: 12.99% | 2015: 10.39% | 2011: 10.39% | 2010: 25.97% | 2009: 25.97%,2023: Rs.0.50 | 2021: Rs.0.30 | 2020: Rs.1.00 | 2016: Rs.2.50 | 2015: Rs.2.00 | 2011: Rs.2.00 | 2010: Rs.5.00 | 2009: Rs.5.00,100.0%,High consistency (100.0%): 8 years with dividends
ASL,11.82,"2021, 2017, 2014","1, 1, 1",Yes,2021: 16.92% | 2017: 16.92% | 2014: 42.30%,2021: Rs.2.00 | 2017: Rs.2.00 | 2014: Rs.5.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
ASTL,21.89,"2018, 2017, 2016","1, 1, 1",Yes,2018: 10.05% | 2017: 9.14% | 2016: 9.14%,2018: Rs.2.20 | 2017: Rs.2.00 | 2016: Rs.2.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
ATBA,291.37,"2024, 2023, 2022, 2021, 2018, 2017, 2016, 2015","1, 2, 1, 2, 1, 1, 1, 1",Yes,2024: 6.86% | 2023: 11.15% | 2022: 4.29% | 2021: 4.80% | 2018: 3.43% | 2017: 12.01% | 2016: 5.32% | 2015: 4.12%,2024: Rs.20.00 | 2023: Rs.32.50 | 2022: Rs.12.50 | 2021: Rs.14.00 | 2018: Rs.10.00 | 2017: Rs.35.00 | 2016: Rs.15.50 | 2015: Rs.12.00,100.0%,High consistency (100.0%): 8 years with dividends
ATIL,87.23,"2024, 2023, 2022, 2021, 2020","2, 3, 2, 2, 1",Yes,2024: 6.88% | 2023: 12.15% | 2022: 8.02% | 2021: 8.02% | 2020: 8.02%,2024: Rs.6.00 | 2023: Rs.10.60 | 2022: Rs.7.00 | 2021: Rs.7.00 | 2020: Rs.7.00,100.0%,Perfect consistency: 5 consecutive years
ATLH,1228.45,"2024, 2023, 2022, 2021, 2020, 2019","1, 2, 1, 3, 1, 2",Yes,2024: 2.44% | 2023: 2.44% | 2022: 0.90% | 2021: 3.30% | 2020: 0.33% | 2019: 1.22%,2024: Rs.30.00 | 2023: Rs.30.00 | 2022: Rs.11.00 | 2021: Rs.40.50 | 2020: Rs.4.00 | 2019: Rs.15.00,100.0%,Perfect consistency: 6 consecutive years
ATRL,658.83,"2024, 2023, 2022, 2018, 2017, 2016, 2015, 2013, 2012","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.76% | 2023: 2.28% | 2022: 1.52% | 2018: 0.38% | 2017: 0.91% | 2016: 0.76% | 2015: 0.76% | 2013: 0.38% | 2012: 0.38%,2024: Rs.5.00 | 2023: Rs.15.00 | 2022: Rs.10.00 | 2018: Rs.2.50 | 2017: Rs.6.00 | 2016: Rs.5.00 | 2015: Rs.5.00 | 2013: Rs.2.50 | 2012: Rs.2.50,100.0%,High consistency (100.0%): 9 years with dividends
AVN,48.46,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 4.13% | 2022: 3.10% | 2021: 2.06% | 2020: 2.06% | 2019: 2.06% | 2018: 8.25% | 2017: 4.64% | 2016: 2.06% | 2015: 4.13% | 2014: 4.64%,2023: Rs.2.00 | 2022: Rs.1.50 | 2021: Rs.1.00 | 2020: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.4.00 | 2017: Rs.2.25 | 2016: Rs.1.00 | 2015: Rs.2.00 | 2014: Rs.2.25,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
AWTX,1409.56,"2024, 2022, 2021, 2018, 2014, 2013, 2012, 2011, 2010, 2007","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.18% | 2022: 0.51% | 2021: 2.50% | 2018: 0.27% | 2014: 0.73% | 2013: 1.44% | 2012: 0.73% | 2011: 0.73% | 2010: 0.51% | 2007: 0.09%,2024: Rs.2.50 | 2022: Rs.7.25 | 2021: Rs.35.25 | 2018: Rs.3.75 | 2014: Rs.10.25 | 2013: Rs.20.25 | 2012: Rs.10.25 | 2011: Rs.10.25 | 2010: Rs.7.25 | 2007: Rs.1.25,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
BAFL,88.0,"2025, 2024, 2023, 2022","2, 4, 2, 2",Yes,2025: 5.68% | 2024: 9.66% | 2023: 9.09% | 2022: 5.68%,2025: Rs.5.00 | 2024: Rs.8.50 | 2023: Rs.8.00 | 2022: Rs.5.00,100.0%,Perfect consistency: 3 consecutive years
BAHL,170.57,"2025, 2024, 2023, 2022, 2021","1, 4, 3, 1, 1",Yes,2025: 2.05% | 2024: 9.97% | 2023: 8.21% | 2022: 4.10% | 2021: 4.10%,2025: Rs.3.50 | 2024: Rs.17.00 | 2023: Rs.14.00 | 2022: Rs.7.00 | 2021: Rs.7.00,100.0%,Perfect consistency: 4 consecutive years
BAPL,58.21,"2025, 2010, 2007, 2005, 2004","1, 1, 1, 2, 1",Yes,2025: 1373.87% | 2010: 0.86% | 2007: 6.87% | 2005: 0.00% | 2004: 0.00%,2025: Rs.799.73 | 2010: Rs.0.50 | 2007: Rs.4.00 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 4 years with dividends
BATA,1697.61,"2024, 2023, 2022, 2021, 2019, 2018, 2017","1, 1, 1, 1, 2, 2, 2",Yes,2024: 7.66% | 2023: 7.07% | 2022: 10.60% | 2021: 5.89% | 2019: 8.84% | 2018: 8.84% | 2017: 8.25%,2024: Rs.130.00 | 2023: Rs.120.00 | 2022: Rs.180.00 | 2021: Rs.100.00 | 2019: Rs.150.00 | 2018: Rs.150.00 | 2017: Rs.140.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends
BCL,118.09,"2018, 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2018: 2.12% | 2017: 4.23% | 2016: 0.85% | 2015: 1.69% | 2013: 0.85% | 2012: 1.69% | 2011: 2.54% | 2010: 2.12% | 2009: 1.69%,2018: Rs.2.50 | 2017: Rs.5.00 | 2016: Rs.1.00 | 2015: Rs.2.00 | 2013: Rs.1.00 | 2012: Rs.2.00 | 2011: Rs.3.00 | 2010: Rs.2.50 | 2009: Rs.2.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
BERG,109.06,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 3.67% | 2023: 1.83% | 2022: 3.67% | 2021: 3.67% | 2020: 0.92% | 2019: 0.92% | 2018: 1.15% | 2017: 4.13% | 2016: 4.13% | 2015: 0.92%,2024: Rs.4.00 | 2023: Rs.2.00 | 2022: Rs.4.00 | 2021: Rs.4.00 | 2020: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.1.25 | 2017: Rs.4.50 | 2016: Rs.4.50 | 2015: Rs.1.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
BFMOD,10.5,"2021, 2017, 2016, 2015, 2012, 2011, 2010, 2008, 2007","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2021: 4.76% | 2017: 9.52% | 2016: 6.19% | 2015: 6.67% | 2012: 4.76% | 2011: 14.29% | 2010: 9.52% | 2008: 7.14% | 2007: 14.29%,2021: Rs.0.50 | 2017: Rs.1.00 | 2016: Rs.0.65 | 2015: Rs.0.70 | 2012: Rs.0.50 | 2011: Rs.1.50 | 2010: Rs.1.00 | 2008: Rs.0.75 | 2007: Rs.1.50,100.0%,High consistency (100.0%): 9 years with dividends
BGL,11.56,"2007, 2005, 2004","2, 1, 1",Yes,2007: 173.01% | 2005: 0.00% | 2004: 0.00%,2007: Rs.20.00 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,Minor gap detected but overall consistent: 3 years with dividends
BHAT,899.98,"2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2023: 3.89% | 2022: 7.94% | 2021: 7.94% | 2019: 11.76% | 2018: 7.14% | 2017: 4.09% | 2016: 1.11% | 2015: 1.11% | 2014: 2.22%,2023: Rs.35.00 | 2022: Rs.71.50 | 2021: Rs.71.50 | 2019: Rs.105.80 | 2018: Rs.64.30 | 2017: Rs.36.80 | 2016: Rs.10.00 | 2015: Rs.10.00 | 2014: Rs.20.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
BIFO,196.94,"2025, 2024, 2023, 2022, 2021, 2020","1, 2, 2, 1, 3, 1",Yes,2025: 0.76% | 2024: 2.34% | 2023: 2.69% | 2022: 1.17% | 2021: 2.54% | 2020: 1.02%,2025: Rs.1.50 | 2024: Rs.4.60 | 2023: Rs.5.30 | 2022: Rs.2.30 | 2021: Rs.5.00 | 2020: Rs.2.00,100.0%,Perfect consistency: 5 consecutive years
BIPL,33.67,"2024, 2023, 2022, 2019, 2014, 2008","2, 2, 1, 1, 2, 2",Yes,2024: 8.17% | 2023: 8.17% | 2022: 2.97% | 2019: 2.97% | 2014: 24.98% | 2008: 13.88%,2024: Rs.2.75 | 2023: Rs.2.75 | 2022: Rs.1.00 | 2019: Rs.1.00 | 2014: Rs.8.41 | 2008: Rs.4.67,100.0%,High consistency (100.0%): 6 years with dividends
BNL,104.01,"2020, 2018, 2009, 2004","1, 1, 1, 1",Yes,2020: 2.88% | 2018: 0.96% | 2009: 0.48% | 2004: 0.00%,2020: Rs.3.00 | 2018: Rs.1.00 | 2009: Rs.0.50 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 4 years with dividends, Pattern: 1 dividends per year"
BNWM,72.15,"2018, 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2007, 2005","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2018: 3.47% | 2017: 6.93% | 2016: 6.93% | 2015: 4.16% | 2013: 3.47% | 2012: 4.16% | 2011: 6.93% | 2010: 2.77% | 2007: 6.93% | 2005: 0.00%,2018: Rs.2.50 | 2017: Rs.5.00 | 2016: Rs.5.00 | 2015: Rs.3.00 | 2013: Rs.2.50 | 2012: Rs.3.00 | 2011: Rs.5.00 | 2010: Rs.2.00 | 2007: Rs.5.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
BOK,17.7,"2024, 2023, 2021, 2020, 2019, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 9.60% | 2023: 8.47% | 2021: 2.82% | 2020: 8.47% | 2019: 2.82% | 2017: 8.47% | 2016: 8.47% | 2015: 7.06% | 2014: 5.65% | 2013: 6.28%,2024: Rs.1.70 | 2023: Rs.1.50 | 2021: Rs.0.50 | 2020: Rs.1.50 | 2019: Rs.0.50 | 2017: Rs.1.50 | 2016: Rs.1.50 | 2015: Rs.1.25 | 2014: Rs.1.00 | 2013: Rs.1.11,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
BOP,13.83,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2013","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 13.02% | 2023: 7.23% | 2022: 7.23% | 2021: 9.04% | 2020: 7.23% | 2019: 5.42% | 2018: 5.42% | 2017: 50.61% | 2013: 106.23%,2024: Rs.1.80 | 2023: Rs.1.00 | 2022: Rs.1.00 | 2021: Rs.1.25 | 2020: Rs.1.00 | 2019: Rs.0.75 | 2018: Rs.0.75 | 2017: Rs.7.00 | 2013: Rs.14.69,100.0%,High consistency (100.0%): 9 years with dividends
BPL,36.01,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012","1, 1, 1, 1, 1, 1, 2, 2",Yes,2019: 2.78% | 2018: 2.08% | 2017: 2.78% | 2016: 2.78% | 2015: 2.78% | 2014: 5.00% | 2013: 10.00% | 2012: 5.55%,2019: Rs.1.00 | 2018: Rs.0.75 | 2017: Rs.1.00 | 2016: Rs.1.00 | 2015: Rs.1.00 | 2014: Rs.1.80 | 2013: Rs.3.60 | 2012: Rs.2.00,100.0%,Perfect consistency: 8 consecutive years
BRRG,29.86,"2024, 2023","1, 1",Yes,2024: 1.67% | 2023: 1.67%,2024: Rs.0.50 | 2023: Rs.0.50,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
